District,Soil_Type,Season,Crop_Name,Avg_Temperature_C,Total_Rainfall_mm,Avg_Humidity_Percent,Sunlight_Hours_Per_Day,Yield_kg_per_hectare,Avg_Market_Price_LKR_per_kg
Vavuniya,Reddish Brown Earths,Maha,Paddy,30.8,1644,73,7.5,5844,122.99
Mullaitivu,Alluvial Soils,Maha,Big Onion,29.3,1579,77,6.6,25259,247.49
Monaragala,Reddish Brown Earths,Maha,Papaya,27.0,2084,74,7.4,45428,141.05
Kegalle,Red-Yellow Podzolic Soils,Yala,Papaya,26.4,2351,78,6.3,30647,128.4
Vavuniya,Reddish Brown Earths,Yala,Cabbage,29.7,1001,77,8.0,27096,150.26
Hambantota,Reddish Brown Earths,Yala,Manioc,29.6,921,79,7.4,27796,93.95
Colombo,Red-Yellow Podzolic Soils,Yala,Coconut,29.2,1981,85,6.6,11949,103.5
Mullaitivu,Latosols,Maha,Banana,29.9,1832,81,7.1,17106,160.25
Colombo,Red-Yellow Podzolic Soils,Yala,Banana,30.9,1820,77,6.6,24139,148.61
Matara,Red-Yellow Podzolic Soils,Maha,Tomato,31.0,2788,87,5.8,31474,151.89
Kalutara,Red-Yellow Podzolic Soils,Maha,Manioc,27.5,3428,84,5.5,26882,91.43
Badulla,Red-Yellow Podzolic Soils,Maha,Coconut,23.8,2511,78,5.9,4362,118.79
Kilinochchi,Reddish Brown Earths,Yala,Pumpkin,29.1,1089,71,7.1,19738,109.2
Jaffna,Calcic Red Latosols,Yala,Banana,32.3,796,74,9.0,13266,150.4
Kilinochchi,Reddish Brown Earths,Yala,Carrot,29.2,1076,73,7.8,22517,171.83
Vavuniya,Reddish Brown Earths,Maha,Maize,30.9,1676,75,7.6,5340,131.63
Kegalle,Red-Yellow Podzolic Soils,Yala,Coconut,26.2,2413,88,5.7,11795,95.25
Kalutara,Red-Yellow Podzolic Soils,Maha,Rubber,30.5,3529,91,5.9,3374,837.3
Anuradhapura,Reddish Brown Earths,Yala,Brinjal,29.8,1203,74,8.0,14532,176.84
Matara,Alluvial Soils,Yala,Sweet Potato,27.5,1705,83,5.5,15244,105.43
Trincomalee,Alluvial Soils,Maha,Beans,27.8,2034,79,7.3,16336,253.46
Kurunegala,Reddish Brown Earths,Yala,Banana,29.4,1447,74,6.2,21620,149.14
Puttalam,Calcic Red Latosols,Maha,Tomato,29.7,1628,78,7.1,21430,161.74
Trincomalee,Reddish Brown Earths,Yala,Pumpkin,32.1,969,71,8.0,20185,94.67
Ratnapura,Red-Yellow Podzolic Soils,Yala,Papaya,25.6,2594,83,5.2,32160,119.63
Colombo,Red-Yellow Podzolic Soils,Maha,Chili,26.8,2756,87,5.9,9567,403.2
Kandy,Reddish Brown Earths,Yala,Manioc,24.8,1520,72,5.8,17957,90.04
Gampaha,Alluvial Soils,Maha,Beans,26.1,2823,82,6.5,22742,252.71
Mullaitivu,Latosols,Maha,Sweet Potato,28.0,2102,73,7.9,22008,111.14
Matara,Red-Yellow Podzolic Soils,Maha,Paddy,30.2,2912,87,6.1,6861,127.26
Vavuniya,Reddish Brown Earths,Maha,Chili,29.0,1882,77,7.2,13179,418.27
Hambantota,Alluvial Soils,Yala,Banana,29.5,798,74,8.2,18627,138.76
Puttalam,Regosols,Maha,Potato,29.9,1569,78,7.4,28753,196.27
Colombo,Latosols,Maha,Tea,29.0,2490,81,6.4,571,898.41
Vavuniya,Reddish Brown Earths,Yala,Rubber,27.1,1275,66,7.6,1293,860.23
Ampara,Reddish Brown Earths,Maha,Manioc,32.3,1565,75,8.3,32237,93.67
Hambantota,Alluvial Soils,Yala,Sweet Potato,30.8,925,69,7.3,15340,103.74
Kegalle,Latosols,Maha,Banana,27.7,3048,86,5.9,17795,156.25
Kandy,Red-Yellow Podzolic Soils,Yala,Paddy,23.2,1462,74,5.9,4568,116.74
Kegalle,Latosols,Yala,Beans,27.0,2034,77,6.0,12637,242.41
Trincomalee,Alluvial Soils,Yala,Potato,29.1,1023,67,7.6,22356,194.62
Colombo,Red-Yellow Podzolic Soils,Maha,Mango,28.2,2832,80,6.7,14138,324.99
Colombo,Red-Yellow Podzolic Soils,Yala,Rubber,30.1,1801,77,6.8,1166,851.71
Puttalam,Calcic Red Latosols,Yala,Sweet Potato,31.1,829,82,7.5,14482,120.87
Mannar,Calcic Red Latosols,Yala,Beans,30.3,979,79,7.9,11880,266.3
Kalutara,Red-Yellow Podzolic Soils,Maha,Tomato,29.5,4147,94,5.7,23813,149.0
Gampaha,Alluvial Soils,Yala,Carrot,29.7,1879,83,6.8,8274,221.94
Kegalle,Latosols,Yala,Manioc,29.6,2231,82,5.8,18636,82.89
Kurunegala,Alluvial Soils,Maha,Pumpkin,27.6,1889,73,7.1,29980,109.78
Jaffna,Calcic Red Latosols,Maha,Tea,28.9,894,78,8.3,272,868.43
Kandy,Reddish Brown Earths,Yala,Potato,21.8,1714,71,6.2,12654,219.38
Kalutara,Red-Yellow Podzolic Soils,Yala,Papaya,28.6,2368,92,5.0,38884,132.95
Mullaitivu,Alluvial Soils,Maha,Tomato,26.8,1998,84,6.9,20861,152.57
Polonnaruwa,Alluvial Soils,Maha,Tea,32.4,1740,72,7.0,289,805.4
Matale,Reddish Brown Earths,Yala,Tea,26.1,1235,75,6.9,1603,648.99
Mullaitivu,Alluvial Soils,Yala,Maize,30.7,1382,75,7.9,4148,149.9
Trincomalee,Reddish Brown Earths,Maha,Brinjal,30.1,1554,67,7.5,17706,168.28
Jaffna,Regosols,Yala,Tea,28.6,884,71,7.7,250,860.42
Monaragala,Reddish Brown Earths,Maha,Maize,25.5,1705,70,7.0,8611,137.08
Batticaloa,Regosols,Maha,Paddy,27.2,1746,74,7.8,6791,127.54
Colombo,Red-Yellow Podzolic Soils,Maha,Carrot,26.8,2713,80,6.3,11589,232.62
Vavuniya,Reddish Brown Earths,Yala,Mango,28.9,1168,68,7.9,10923,320.72
Kandy,Red-Yellow Podzolic Soils,Maha,Cabbage,21.9,2720,74,6.5,36436,156.58
Galle,Red-Yellow Podzolic Soils,Yala,Sweet Potato,30.7,2145,82,6.2,15988,101.69
Galle,Red-Yellow Podzolic Soils,Yala,Cabbage,29.8,1862,87,5.4,9322,173.5
Trincomalee,Reddish Brown Earths,Maha,Cabbage,30.2,1489,78,7.7,37904,146.56
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Pumpkin,16.4,2317,78,5.6,27041,106.31
Puttalam,Calcic Red Latosols,Yala,Potato,31.3,1028,77,7.1,21571,216.08
Trincomalee,Alluvial Soils,Maha,Carrot,27.2,1968,67,7.5,29121,175.25
Kandy,Red-Yellow Podzolic Soils,Yala,Pumpkin,22.0,1734,80,6.0,20258,107.51
Ampara,Alluvial Soils,Maha,Big Onion,29.0,1773,73,8.3,22337,244.08
Ampara,Alluvial Soils,Yala,Mango,29.8,1044,70,7.6,13765,292.69
Hambantota,Alluvial Soils,Maha,Coconut,30.7,1252,75,8.3,10524,94.84
Kurunegala,Reddish Brown Earths,Yala,Tea,30.8,1453,79,6.5,1734,710.88
Mannar,Calcic Red Latosols,Maha,Coconut,33.1,1191,74,7.8,13866,94.28
Anuradhapura,Alluvial Soils,Maha,Pumpkin,31.4,1757,61,7.6,27403,100.82
Kilinochchi,Reddish Brown Earths,Yala,Coconut,31.1,924,71,7.7,7556,107.97
Anuradhapura,Reddish Brown Earths,Maha,Cabbage,28.6,1638,65,8.4,8938,166.47
Ratnapura,Red-Yellow Podzolic Soils,Maha,Coconut,24.5,5143,83,5.2,15167,92.21
Polonnaruwa,Reddish Brown Earths,Maha,Papaya,31.5,1864,76,6.9,37884,137.75
Kilinochchi,Reddish Brown Earths,Maha,Tea,27.0,1747,74,7.7,2335,641.84
Colombo,Red-Yellow Podzolic Soils,Maha,Tea,28.6,2449,80,5.6,572,888.92
Gampaha,Alluvial Soils,Yala,Beans,27.1,1840,77,6.6,16495,266.13
Ratnapura,Red-Yellow Podzolic Soils,Yala,Papaya,26.6,3177,94,5.8,28161,130.36
Kalutara,Red-Yellow Podzolic Soils,Yala,Manioc,29.2,2691,82,5.7,20461,93.27
Trincomalee,Reddish Brown Earths,Maha,Pumpkin,27.9,1980,69,7.3,27907,99.73
Kegalle,Latosols,Maha,Banana,29.8,3603,86,5.3,18469,156.93
Galle,Latosols,Maha,Tea,26.7,2761,80,6.3,3414,743.67
Monaragala,Reddish Brown Earths,Maha,Big Onion,30.1,1791,75,7.3,22038,243.17
Puttalam,Calcic Red Latosols,Yala,Tea,29.3,815,79,7.8,1851,689.52
Galle,Red-Yellow Podzolic Soils,Yala,Tomato,30.7,1822,78,5.4,17514,169.02
Mullaitivu,Alluvial Soils,Yala,Maize,29.0,1384,82,6.6,4246,133.63
Puttalam,Calcic Red Latosols,Maha,Sweet Potato,28.4,1319,77,7.8,21025,114.15
Ampara,Reddish Brown Earths,Maha,Tea,27.4,1811,76,8.4,2452,733.36
Galle,Latosols,Yala,Carrot,27.6,1916,80,6.2,8894,208.6
Mullaitivu,Latosols,Maha,Big Onion,26.1,1972,82,7.8,23628,228.54
Puttalam,Regosols,Maha,Carrot,30.1,1511,75,7.7,32490,162.57
Badulla,Red-Yellow Podzolic Soils,Yala,Manioc,20.9,1417,77,6.5,18535,97.61
Kandy,Reddish Brown Earths,Maha,Brinjal,25.5,2239,76,5.7,16630,183.7
Batticaloa,Alluvial Soils,Maha,Coconut,30.3,1743,70,7.8,14921,101.96
Matara,Alluvial Soils,Maha,Chili,29.3,2839,89,6.1,9515,396.65
Batticaloa,Regosols,Yala,Potato,32.1,1418,84,8.0,21591,192.48
Batticaloa,Alluvial Soils,Yala,Potato,26.7,1480,75,7.2,21384,202.33
Galle,Red-Yellow Podzolic Soils,Yala,Tomato,27.2,2100,83,5.0,17121,170.05
Ampara,Alluvial Soils,Yala,Coconut,32.2,1069,69,7.5,8921,95.1
Kalutara,Red-Yellow Podzolic Soils,Maha,Rubber,30.1,3600,89,5.6,3044,821.67
Gampaha,Latosols,Maha,Carrot,28.0,2792,83,6.3,12769,223.1
Vavuniya,Reddish Brown Earths,Yala,Beans,29.1,1154,79,7.8,12519,227.06
Mullaitivu,Alluvial Soils,Yala,Tomato,27.9,1307,77,6.6,16015,159.66
Monaragala,Reddish Brown Earths,Yala,Paddy,30.0,1149,68,7.5,4565,126.95
Colombo,Latosols,Yala,Manioc,30.4,1934,79,5.7,28554,87.36
Batticaloa,Alluvial Soils,Maha,Maize,30.9,2046,70,7.8,4976,149.15
Matara,Red-Yellow Podzolic Soils,Maha,Brinjal,29.2,2579,89,7.0,27795,163.29
Anuradhapura,Reddish Brown Earths,Maha,Mango,26.9,1754,73,7.1,13477,301.07
Mannar,Regosols,Maha,Pumpkin,29.8,1008,82,7.8,28437,103.26
Kandy,Reddish Brown Earths,Yala,Cabbage,24.3,1570,75,6.4,27420,154.57
Monaragala,Reddish Brown Earths,Maha,Coconut,29.1,1994,74,7.1,11013,104.87
Kandy,Red-Yellow Podzolic Soils,Yala,Tea,25.9,1737,80,6.4,2933,727.57
Mullaitivu,Latosols,Maha,Paddy,26.1,1951,83,7.0,6310,116.32
Matara,Red-Yellow Podzolic Soils,Yala,Maize,26.9,1909,77,6.0,4385,126.17
Monaragala,Reddish Brown Earths,Yala,Maize,26.5,1438,76,6.7,5604,127.5
Kandy,Red-Yellow Podzolic Soils,Maha,Mango,27.6,2332,82,5.9,13858,284.71
Ratnapura,Red-Yellow Podzolic Soils,Maha,Sweet Potato,24.2,4619,94,5.5,19007,117.56
Ampara,Alluvial Soils,Maha,Mango,30.1,1721,78,8.3,20826,326.59
Kandy,Red-Yellow Podzolic Soils,Maha,Coconut,22.3,2680,78,6.0,10621,106.26
Hambantota,Alluvial Soils,Yala,Paddy,27.4,787,67,7.9,4720,130.76
Anuradhapura,Alluvial Soils,Yala,Big Onion,33.4,1209,62,8.5,31522,242.58
Colombo,Latosols,Maha,Chili,26.6,2466,76,6.5,8281,384.21
Trincomalee,Reddish Brown Earths,Yala,Beans,30.7,1091,72,8.3,12925,258.03
Anuradhapura,Alluvial Soils,Yala,Pumpkin,27.2,1292,63,8.4,20040,96.65
Matara,Alluvial Soils,Yala,Pumpkin,29.1,1909,89,5.6,20430,92.66
Mullaitivu,Alluvial Soils,Yala,Tea,31.9,1067,84,6.7,1824,675.48
Vavuniya,Reddish Brown Earths,Maha,Maize,28.2,1810,67,7.5,4978,145.28
Mannar,Regosols,Maha,Papaya,32.6,1551,72,7.5,44632,133.35
Badulla,Red-Yellow Podzolic Soils,Yala,Tomato,23.7,1569,81,5.3,24147,174.54
Kurunegala,Reddish Brown Earths,Yala,Paddy,32.6,1265,84,6.2,4981,110.9
Gampaha,Latosols,Yala,Beans,30.5,1994,87,6.1,14820,239.76
Kilinochchi,Reddish Brown Earths,Maha,Pumpkin,30.8,1745,75,7.0,25294,99.08
Kandy,Reddish Brown Earths,Maha,Rubber,22.4,2292,84,6.8,1733,828.26
Gampaha,Latosols,Maha,Brinjal,29.3,2819,79,6.3,27909,162.78
Vavuniya,Reddish Brown Earths,Yala,Coconut,27.3,1040,68,7.7,7721,92.45
Matale,Reddish Brown Earths,Maha,Big Onion,22.6,2046,75,6.9,31731,255.86
Polonnaruwa,Alluvial Soils,Maha,Tomato,29.1,1911,72,6.9,24992,147.12
Ratnapura,Red-Yellow Podzolic Soils,Maha,Pumpkin,28.2,4068,87,5.6,26876,108.14
Hambantota,Alluvial Soils,Maha,Coconut,30.5,1095,70,8.3,10641,93.25
Mannar,Regosols,Yala,Big Onion,33.5,993,84,8.1,16821,230.5
Mullaitivu,Alluvial Soils,Yala,Cabbage,27.0,1095,82,7.5,28063,162.16
Matale,Reddish Brown Earths,Yala,Maize,29.6,1399,78,7.3,6465,132.57
Matara,Red-Yellow Podzolic Soils,Yala,Coconut,28.3,1691,88,5.8,14156,106.69
Ampara,Alluvial Soils,Maha,Maize,29.4,1839,77,7.1,8565,152.11
Badulla,Red-Yellow Podzolic Soils,Maha,Pumpkin,20.9,1975,82,5.7,28912,100.0
Gampaha,Latosols,Yala,Paddy,29.7,1796,85,6.9,5760,112.55
Batticaloa,Alluvial Soils,Yala,Pumpkin,31.5,1432,78,7.0,22055,103.55
Anuradhapura,Alluvial Soils,Maha,Manioc,29.8,1532,61,8.0,41993,94.65
Kalutara,Red-Yellow Podzolic Soils,Yala,Pumpkin,30.6,2689,94,5.5,18803,99.65
Batticaloa,Regosols,Maha,Papaya,27.1,1996,77,7.3,43086,136.15
Gampaha,Latosols,Maha,Coconut,28.9,2421,78,6.2,21081,97.51
Galle,Latosols,Maha,Carrot,28.8,2702,86,6.4,11109,219.93
Ratnapura,Red-Yellow Podzolic Soils,Maha,Sweet Potato,23.7,3779,80,4.9,20191,107.18
Ampara,Reddish Brown Earths,Maha,Potato,32.4,2045,72,7.5,25016,196.09
Puttalam,Calcic Red Latosols,Yala,Manioc,28.0,901,82,7.5,19904,90.03
Polonnaruwa,Reddish Brown Earths,Maha,Rubber,26.9,2067,75,7.6,1797,754.31
Kegalle,Latosols,Yala,Cabbage,26.1,2751,89,5.7,29763,140.8
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Papaya,16.3,1464,77,5.2,7185,152.21
Kegalle,Latosols,Yala,Rubber,28.4,2783,89,6.3,1971,843.01
Vavuniya,Reddish Brown Earths,Maha,Carrot,29.4,1836,74,7.7,33161,191.78
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Maize,13.0,1880,76,5.6,4228,128.0
Colombo,Red-Yellow Podzolic Soils,Yala,Potato,26.9,1822,85,6.6,8370,239.31
Kilinochchi,Reddish Brown Earths,Yala,Banana,31.7,1167,70,7.6,12927,161.71
Batticaloa,Regosols,Maha,Big Onion,31.0,1972,83,7.7,22989,216.0
Batticaloa,Alluvial Soils,Maha,Big Onion,27.7,2062,79,7.9,24386,259.73
Matale,Reddish Brown Earths,Yala,Carrot,27.5,1469,66,7.3,23880,184.28
Monaragala,Reddish Brown Earths,Yala,Carrot,30.7,1427,67,7.3,25297,189.94
Kalutara,Red-Yellow Podzolic Soils,Yala,Chili,27.2,2357,84,6.2,7110,436.19
Mannar,Calcic Red Latosols,Maha,Beans,33.9,1007,76,8.9,16111,236.71
Kegalle,Red-Yellow Podzolic Soils,Yala,Beans,30.9,2773,81,5.5,12544,262.7
Batticaloa,Regosols,Maha,Coconut,26.5,1832,84,7.5,15676,95.2
Gampaha,Alluvial Soils,Maha,Mango,29.6,2881,79,6.5,14583,307.51
Puttalam,Regosols,Maha,Tea,28.4,1561,84,7.1,2173,762.49
Mullaitivu,Latosols,Yala,Rubber,27.0,1175,70,7.2,1325,839.44
Trincomalee,Reddish Brown Earths,Maha,Rubber,30.6,1740,66,8.1,1790,781.6
Galle,Latosols,Maha,Papaya,29.0,2831,86,6.3,41112,122.25
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Manioc,17.1,1454,85,5.3,17899,92.18
Mannar,Calcic Red Latosols,Maha,Papaya,29.6,1385,80,7.8,41425,120.69
Trincomalee,Alluvial Soils,Yala,Big Onion,29.4,1216,72,8.0,16024,221.2
Galle,Latosols,Maha,Tomato,31.0,2695,85,5.3,21053,153.71
Puttalam,Calcic Red Latosols,Maha,Big Onion,31.8,1616,81,7.3,37669,258.4
Gampaha,Latosols,Maha,Brinjal,26.0,2569,82,6.1,27386,180.68
Anuradhapura,Reddish Brown Earths,Yala,Paddy,33.3,1290,74,8.4,5225,123.06
Nuwara Eliya,Latosols,Maha,Mango,15.4,2965,89,5.8,1852,362.84
Anuradhapura,Alluvial Soils,Yala,Chili,33.8,1062,70,8.1,10918,402.25
Colombo,Latosols,Yala,Sweet Potato,26.3,1722,79,5.6,19068,111.64
Hambantota,Reddish Brown Earths,Maha,Cabbage,31.4,1357,66,8.3,10111,180.03
Polonnaruwa,Alluvial Soils,Maha,Coconut,31.4,2018,73,6.6,10726,94.65
Kalutara,Red-Yellow Podzolic Soils,Yala,Banana,28.3,2463,92,5.7,19767,151.36
Anuradhapura,Alluvial Soils,Maha,Rubber,28.6,2011,64,7.0,1733,831.45
Nuwara Eliya,Latosols,Maha,Chili,16.4,2964,77,5.4,3684,496.41
Kegalle,Latosols,Maha,Coconut,28.1,3047,87,6.4,14922,93.8
Kegalle,Red-Yellow Podzolic Soils,Maha,Brinjal,27.4,4005,79,6.2,18972,161.11
Matara,Red-Yellow Podzolic Soils,Yala,Brinjal,29.1,1714,88,6.3,17109,157.73
Kegalle,Latosols,Yala,Potato,29.8,2377,80,5.9,21195,215.38
Kurunegala,Alluvial Soils,Yala,Tea,28.8,1353,72,6.9,1601,685.11
Kalutara,Red-Yellow Podzolic Soils,Maha,Cabbage,27.0,3756,92,6.0,37475,164.44
Jaffna,Regosols,Yala,Maize,29.6,708,68,8.8,3675,131.98
Kilinochchi,Reddish Brown Earths,Yala,Maize,32.1,833,70,7.5,4248,140.32
Anuradhapura,Reddish Brown Earths,Maha,Big Onion,26.5,1749,69,7.8,36725,244.85
Mullaitivu,Latosols,Yala,Potato,30.4,1263,84,7.8,19550,217.61
Kandy,Reddish Brown Earths,Maha,Manioc,27.6,2680,81,7.0,26033,93.52
Mullaitivu,Latosols,Yala,Big Onion,32.0,1268,83,6.8,16898,225.16
Kegalle,Red-Yellow Podzolic Soils,Yala,Pumpkin,29.2,2027,79,5.5,21198,104.4
Matara,Alluvial Soils,Yala,Papaya,27.9,1947,78,5.8,30642,134.7
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Manioc,15.8,1547,86,5.2,20917,81.5
Anuradhapura,Reddish Brown Earths,Maha,Maize,31.5,1808,69,7.1,7961,128.93
Nuwara Eliya,Latosols,Yala,Sweet Potato,16.4,1837,88,5.4,14469,108.92
Kandy,Red-Yellow Podzolic Soils,Yala,Papaya,23.1,1441,73,6.9,33452,140.85
Kalutara,Red-Yellow Podzolic Soils,Yala,Sweet Potato,26.3,2780,82,5.2,14922,104.57
Kalutara,Red-Yellow Podzolic Soils,Maha,Mango,27.5,3559,90,5.1,15078,300.52
Mullaitivu,Latosols,Maha,Pumpkin,30.5,1723,78,7.3,29759,90.4
Ratnapura,Red-Yellow Podzolic Soils,Maha,Pumpkin,29.6,3601,92,5.3,27850,106.82
Vavuniya,Reddish Brown Earths,Yala,Brinjal,32.0,1271,68,6.8,14077,157.82
Jaffna,Calcic Red Latosols,Maha,Coconut,29.2,900,78,8.3,10972,102.27
Matale,Reddish Brown Earths,Yala,Paddy,28.4,1378,79,6.9,4785,122.23
Kandy,Red-Yellow Podzolic Soils,Yala,Potato,22.8,1492,77,6.5,12730,211.48
Monaragala,Reddish Brown Earths,Maha,Papaya,30.4,1925,73,7.7,45181,128.1
Hambantota,Reddish Brown Earths,Maha,Rubber,32.4,1167,66,7.2,1800,740.8
Ampara,Reddish Brown Earths,Yala,Papaya,29.2,1093,80,8.4,33184,142.68
Vavuniya,Reddish Brown Earths,Yala,Sweet Potato,28.2,999,67,6.8,19921,110.66
Mullaitivu,Latosols,Yala,Coconut,28.1,1088,71,6.8,8628,108.91
Badulla,Red-Yellow Podzolic Soils,Maha,Coconut,19.6,2612,75,5.0,3817,112.77
Hambantota,Alluvial Soils,Yala,Pumpkin,32.3,933,71,8.1,19984,99.76
Kalutara,Red-Yellow Podzolic Soils,Yala,Brinjal,30.8,2304,90,5.8,19916,177.68
Gampaha,Alluvial Soils,Yala,Papaya,26.6,1995,87,6.5,28614,134.48
Kegalle,Latosols,Yala,Potato,28.5,2638,79,6.1,18557,213.24
Colombo,Latosols,Maha,Beans,28.9,2423,81,6.7,23772,236.46
Hambantota,Alluvial Soils,Maha,Chili,29.5,1305,79,7.3,13642,377.5
Kurunegala,Alluvial Soils,Maha,Sweet Potato,29.9,1927,78,7.0,18907,108.49
Kurunegala,Reddish Brown Earths,Maha,Rubber,32.0,2060,76,6.7,1499,809.01
Batticaloa,Regosols,Maha,Maize,30.3,1834,78,7.6,5343,143.22
Puttalam,Calcic Red Latosols,Yala,Cabbage,29.5,1059,74,7.5,29638,155.72
Badulla,Red-Yellow Podzolic Soils,Maha,Brinjal,20.3,2554,80,6.2,16847,166.39
Hambantota,Alluvial Soils,Yala,Tomato,27.7,748,73,7.8,17434,151.91
Kalutara,Red-Yellow Podzolic Soils,Yala,Mango,26.7,2716,90,5.9,10632,293.81
Polonnaruwa,Reddish Brown Earths,Yala,Banana,31.7,1155,79,7.3,20292,162.14
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Tomato,17.2,2561,86,5.3,22257,144.52
Polonnaruwa,Reddish Brown Earths,Yala,Chili,31.2,1153,68,7.5,6563,436.92
Mannar,Regosols,Yala,Tea,31.6,785,71,8.1,1799,720.33
Trincomalee,Alluvial Soils,Yala,Big Onion,28.6,1279,73,8.4,17304,224.05
Matara,Red-Yellow Podzolic Soils,Maha,Papaya,30.0,2698,79,5.9,42677,124.2
Mannar,Calcic Red Latosols,Maha,Tomato,30.7,1513,77,8.6,24033,162.86
Gampaha,Latosols,Yala,Chili,28.0,1938,79,6.1,7217,414.93
Polonnaruwa,Reddish Brown Earths,Maha,Cabbage,29.4,1711,77,6.6,8308,185.48
Colombo,Latosols,Maha,Chili,28.6,2416,75,5.5,9464,360.95
Mullaitivu,Alluvial Soils,Maha,Maize,26.7,1863,78,6.5,6026,143.53
Kurunegala,Alluvial Soils,Yala,Sweet Potato,29.9,1240,71,6.1,13880,108.38
Monaragala,Reddish Brown Earths,Yala,Papaya,32.8,1288,78,7.3,33018,126.98
Galle,Latosols,Maha,Chili,26.7,2774,81,5.9,8708,366.94
Mullaitivu,Latosols,Yala,Cabbage,27.2,1387,72,6.8,25970,149.66
Trincomalee,Alluvial Soils,Maha,Sweet Potato,29.4,1831,66,7.4,21378,103.26
Mullaitivu,Alluvial Soils,Yala,Potato,26.6,1438,71,6.9,18992,192.85
Kandy,Red-Yellow Podzolic Soils,Yala,Tomato,25.1,1453,84,6.2,28028,151.32
Kegalle,Red-Yellow Podzolic Soils,Yala,Potato,28.1,2624,86,5.7,21918,213.8
Kurunegala,Reddish Brown Earths,Yala,Paddy,27.7,1576,74,6.2,4700,123.32
Batticaloa,Regosols,Maha,Big Onion,26.9,1713,74,7.5,23482,236.57
Kurunegala,Reddish Brown Earths,Maha,Brinjal,27.9,2345,82,6.9,20159,165.52
Hambantota,Reddish Brown Earths,Maha,Pumpkin,28.3,1304,79,7.9,25470,94.42
Polonnaruwa,Reddish Brown Earths,Maha,Banana,27.5,1873,67,7.4,28186,160.1
Mannar,Regosols,Maha,Cabbage,27.9,1300,71,8.1,39136,164.01
Gampaha,Latosols,Yala,Mango,31.0,1746,86,6.6,9386,303.29
Mannar,Regosols,Yala,Papaya,30.3,1011,77,7.9,30256,118.46
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Carrot,12.5,2641,88,5.2,61633,172.64
Kegalle,Latosols,Yala,Paddy,24.2,2132,87,6.3,3885,119.74
Colombo,Red-Yellow Podzolic Soils,Yala,Mango,26.8,1994,82,6.2,9445,307.01
Kegalle,Latosols,Yala,Carrot,24.5,2370,75,5.0,23020,162.2
Kurunegala,Reddish Brown Earths,Yala,Coconut,31.8,1392,75,6.9,13444,102.44
Trincomalee,Reddish Brown Earths,Maha,Banana,27.8,1494,69,7.2,17245,155.88
Batticaloa,Regosols,Yala,Papaya,30.2,1441,75,8.0,29273,122.33
Colombo,Latosols,Maha,Sweet Potato,30.9,2402,81,6.8,24023,104.75
Puttalam,Calcic Red Latosols,Yala,Sweet Potato,30.1,966,84,7.6,13558,120.84
Galle,Red-Yellow Podzolic Soils,Yala,Sweet Potato,27.6,2151,88,5.0,15772,110.41
Gampaha,Alluvial Soils,Yala,Carrot,30.2,1670,89,6.8,9174,205.55
Nuwara Eliya,Latosols,Yala,Cabbage,16.8,1843,76,5.0,58328,153.92
Colombo,Red-Yellow Podzolic Soils,Yala,Mango,30.9,1620,78,6.9,9963,305.35
Trincomalee,Reddish Brown Earths,Yala,Cabbage,29.0,1302,65,7.2,28109,137.57
Kalutara,Red-Yellow Podzolic Soils,Yala,Paddy,29.3,2246,83,5.0,4609,112.4
Batticaloa,Regosols,Maha,Coconut,27.7,2011,75,7.5,14242,92.98
Polonnaruwa,Reddish Brown Earths,Maha,Chili,32.2,1866,77,7.4,8289,413.01
Monaragala,Reddish Brown Earths,Maha,Papaya,26.6,1646,79,7.4,38845,132.12
Kandy,Reddish Brown Earths,Maha,Banana,20.2,2291,83,6.8,18824,154.26
Jaffna,Regosols,Yala,Tomato,32.7,674,65,8.7,15971,144.53
Kurunegala,Alluvial Soils,Yala,Papaya,32.3,1580,74,7.0,32241,129.44
Matale,Reddish Brown Earths,Maha,Chili,22.2,1934,68,6.3,8607,414.01
Ampara,Alluvial Soils,Yala,Chili,30.0,1110,74,7.4,6502,395.35
Kalutara,Red-Yellow Podzolic Soils,Yala,Papaya,27.9,2032,85,6.0,43683,135.77
Kalutara,Red-Yellow Podzolic Soils,Maha,Brinjal,26.1,3921,85,5.2,25615,157.13
Kandy,Reddish Brown Earths,Yala,Papaya,20.5,1732,70,6.5,32647,134.83
Hambantota,Reddish Brown Earths,Maha,Sweet Potato,29.3,1340,71,8.2,21027,117.96
Badulla,Red-Yellow Podzolic Soils,Yala,Tea,22.4,1683,79,6.0,2924,636.09
Ampara,Alluvial Soils,Yala,Paddy,30.3,1203,77,8.0,5083,110.06
Kandy,Red-Yellow Podzolic Soils,Maha,Banana,21.5,2328,80,6.1,18171,146.74
Gampaha,Latosols,Yala,Carrot,29.6,1893,76,6.7,8624,208.47
Polonnaruwa,Reddish Brown Earths,Yala,Manioc,26.2,1401,77,6.5,18600,91.37
Polonnaruwa,Reddish Brown Earths,Yala,Papaya,30.9,1270,69,7.2,33499,141.84
